0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72
0,2.989459,-0.046141915,0.8423449,0.16836202,-0.035614718,-0.088348515,-0.32114106,0.11705196,-0.006876458,0.21691191,-0.053051367,-0.011819769,0.20889992,-0.15534349,-0.05190402,0.54636014,0.026175406,-0.0019528073,0.0031593489,-0.037114415,-0.0022064128,-0.2653423,0.16679595,0.030461159,-0.11557349,-0.1002377,0.057155773,-0.0153255435,-0.02046916,0.0020265242,0.016877891,0.01177608,-0.023213722,-0.055108514,0.035488553,0.0021010186,-0.1176506,0.14638898,-0.013807457,0.003936696,0.037452765,-0.36576334,-0.07035352,-0.01952856,0.4224333,0.102601826,0.03419451,-0.027497655,-0.0011152895,-0.08269763,-0.617365,0.1070691,0.10684981,0.6187808,0.06337827,-0.80465627,0.58692974,-0.053460427,1.0636997,-0.84794956,0.08839952,-0.09650293,0.10367542,-0.08735752,0.14597028,-0.17064217,0.014053465,0.041812148,-0.45004562,0.0025658805,-0.067949586,0.41957363
1,2.9740295,-0.0453166,0.821741,0.17799439,-0.034642614,-0.09265019,-0.27171826,0.114157155,-0.0022473268,0.21004114,-0.049354985,-0.019532189,0.16019231,-0.16567597,-0.050665732,0.497818,0.038277935,-0.0066527543,0.004628577,-0.042918075,-0.0048587844,-0.24761778,0.18022037,0.020170078,-0.10236058,-0.10578213,0.06827484,-0.010992323,-0.022129314,-0.0032241254,0.020566892,0.0035150654,-0.018789222,-0.043755263,0.037356928,-0.006883602,-0.10230014,0.11890105,-0.009074676,0.015863178,0.046487525,-0.35944247,-0.0758574,-0.044084,0.408355,0.10248826,0.016692322,-0.011217596,0.008099709,-0.06408674,-0.58449465,0.104022026,0.07085045,0.58972055,0.09912282,-0.7014979,0.46607256,-0.052097037,1.0293431,-0.813097,0.1199904,-0.10464634,0.08801695,-0.078637935,0.14315791,-0.1596171,0.010361178,0.051464353,-0.4440521,0.0027749494,-0.08285961,0.41358677
2,2.9694383,-0.037248496,0.9000877,0.16163476,0.01765261,-0.042357538,-0.27009496,0.10763562,-0.022252927,0.19360328,-0.059143927,-0.027242675,0.21166775,-0.10573775,-0.054207258,0.46358648,0.056088246,-0.010165236,0.0011609017,-0.06535692,-0.010547782,-0.2793953,0.20010273,0.015418329,-0.10301967,-0.12095864,0.09420473,-0.019193986,-0.042847622,-0.0014376366,0.04008086,-0.008732341,-0.027954439,-0.03433916,0.023764025,-0.0223576,-0.120580316,0.13739125,-0.01842435,0.021065947,0.010364824,-0.35443103,-0.0656354,-0.06848736,0.39593467,0.07646716,0.061960746,-0.002295175,0.0026259462,-0.065903485,-0.57412934,0.11323282,0.033145446,0.56540096,0.14452104,-0.72226113,0.37660807,0.007394712,1.0919224,-0.779941,0.14562285,-0.12518018,0.10241802,-0.08729447,0.15618442,-0.13882515,0.019614572,0.07058267,-0.45590156,0.0052727447,-0.107180096,0.43326196
3,2.9931998,-0.0660872,0.8679005,0.15696086,0.010329643,-0.031258393,-0.27329257,0.10881706,-0.032844357,0.18310152,-0.057362773,-0.03645306,0.3140641,-0.12882118,-0.0518307,0.4259651,0.08270333,-0.021947443,-0.014399036,-0.058746196,-0.024617614,-0.2818395,0.20203929,0.009788843,-0.07411263,-0.12613861,0.11042199,-0.013591471,-0.039284565,-0.014157121,0.03827518,-0.015146186,-0.025696918,-0.04216592,0.0076590055,-0.037776697,-0.111749746,0.10686081,-0.036283135,0.037137683,0.06246735,-0.33454362,-0.07168724,-0.1281101,0.37976184,0.07494061,0.05260423,-0.0002964855,0.0060321395,-0.032613806,-0.60111386,0.086359724,7.028286e-05,0.546792,0.15343083,-0.7005504,0.4028336,-0.07303886,1.0496063,-0.81114954,0.12901346,-0.11302108,0.10010672,-0.10570764,0.14034441,-0.15091324,0.036004007,0.07887831,-0.4580555,0.017060274,-0.124220915,0.44343898
4,2.9664323,-0.074742,0.9430725,0.09673513,0.027925832,-0.044515938,-0.22502321,0.12246529,-0.04117772,0.21480738,-0.061360583,-0.024038695,0.30544573,-0.082805395,-0.046411693,0.40598488,0.13287003,-0.034813847,-0.01213903,-0.0727037,-0.029133696,-0.27125746,0.20044161,0.00523434,-0.094898,-0.13948403,0.11662048,-0.02022189,-0.045345534,-0.02594501,0.034898136,-0.017541774,-0.030903073,-0.036994033,0.018327754,-0.046123974,-0.13272466,0.09508139,-0.019922178,0.03808454,-0.010366258,-0.38175046,-0.09305283,-0.099812835,0.38908902,0.07763905,0.042172078,0.007914721,-0.004562237,-0.08280874,-0.5841534,0.048080865,0.0064877984,0.47549045,0.098967865,-0.6668588,0.3951111,-0.1757063,1.075721,-0.8938823,0.12740125,-0.12286708,0.10291975,-0.10579851,0.15172353,-0.16235505,0.027234226,0.07542877,-0.451968,0.005164959,-0.11596662,0.44601998
5,2.9883559,-0.07194765,0.8982276,0.031281035,0.021108953,-0.030624827,-0.25157604,0.11644549,-0.06439993,0.232665,-0.06665173,0.0016677339,0.347722,-0.07601401,-0.054826718,0.47550175,0.13189279,-0.031601083,-0.02485262,-0.06328881,-0.021509696,-0.26573643,0.18885793,0.014929045,-0.11865651,-0.14495833,0.11201608,-0.0029911555,-0.04020216,-0.02841476,0.014412258,-0.009122913,-0.025519213,-0.0435003,0.016266765,-0.044459227,-0.08949434,0.12542638,-0.01324401,0.055485073,0.031907078,-0.36845773,-0.102238715,-0.13044654,0.36261964,0.088522926,0.0648408,-0.014875563,0.0027583994,-0.06021545,-0.6957686,0.0068461625,0.032046143,0.48622146,0.14551933,-0.73294795,0.44017872,-0.25049528,1.1645784,-1.0063663,0.08337582,-0.10748918,0.10290998,-0.12456606,0.14209153,-0.19143799,0.024027467,0.06708047,-0.4465264,0.009486358,-0.10661695,0.4464291
6,-3.0072198,0.083445184,-0.9009742,0.031729642,0.023473326,-0.012899712,-0.22796346,0.11037938,-0.0408403,0.2184865,-0.07155808,0.0006197433,0.34452507,-0.06906244,-0.048105318,0.4441956,0.12754166,-0.033408184,-0.026750496,-0.06467784,-0.020644711,-0.27777448,0.17524308,0.023536062,-0.13974541,-0.14709362,0.10264427,0.00028945264,-0.04296462,-0.033239458,0.0012228527,-0.0047042314,-0.026522787,-0.02934961,0.018978959,-0.045233864,-0.098327145,0.13276519,-0.016395317,0.062002175,-0.0022087486,-0.3404819,-0.10388895,-0.120553054,0.34438023,0.06826865,0.05979536,-0.02430046,0.029721178,-0.09566487,-0.7713775,0.0015691101,0.032819543,0.4834403,0.21713938,-0.87596244,0.4641551,-0.24125546,1.2258445,-1.057456,0.051378652,-0.122143924,0.09429729,-0.11079451,0.1543176,-0.20713489,0.024476007,0.061351143,-0.4391104,0.008623694,-0.0981438,0.44555652
7,2.96661,-0.09634779,0.92161214,0.06943864,0.041955296,-0.0061389524,-0.18162397,0.1132195,-0.03860302,0.19803683,-0.07869002,-0.0028617461,0.3094163,-0.04911108,-0.047032304,0.45041838,0.12547892,-0.037137512,-0.006966574,-0.0781825,-0.028814448,-0.28400707,0.18104969,0.01992905,-0.15797873,-0.15520252,0.11276489,-0.008081827,-0.048011657,-0.036587007,0.003716364,-0.006217178,-0.02870447,-0.021104848,0.0128417,-0.04319533,-0.09187403,0.16758233,-0.039077047,0.05502295,-0.06682013,-0.33890817,-0.09310042,-0.08140991,0.34257945,0.048987325,0.092343636,-0.029138038,0.04718841,-0.14527898,-0.7851959,0.0066795484,0.052140765,0.4792432,0.2741924,-1.014876,0.4744833,-0.19125561,1.2954141,-1.0585884,0.070771,-0.14185604,0.0923458,-0.12197545,0.16844834,-0.18089671,0.023370538,0.07120428,-0.44083032,-0.0009388185,-0.109784834,0.45351923
8,2.9999456,-0.091789946,0.8975525,0.09266886,0.050155237,0.0284413,-0.19953062,0.11399373,-0.07102994,0.18021229,-0.09266254,0.0010708674,0.3632491,-0.057850394,-0.052414455,0.4852009,0.1370672,-0.038893275,-0.002195016,-0.077248834,-0.029289292,-0.30506828,0.16737714,0.01917738,-0.17441453,-0.15602162,0.121019706,-0.016456202,-0.045941647,-0.033583015,-0.020974109,0.008673626,-0.0332183,-0.037026364,0.0065014125,-0.045416813,-0.13334668,0.16238546,-0.047005583,0.046490494,-0.10882284,-0.35510588,-0.0907523,-0.03367191,0.35248628,0.03325116,0.08728231,-0.033615433,0.08940577,-0.19376613,-0.87008554,0.01894494,0.09370911,0.5018087,0.34441602,-1.1735018,0.47469488,-0.12972903,1.3167453,-1.0302672,0.066018485,-0.13938035,0.08381671,-0.105811566,0.17155349,-0.16384557,0.010793326,0.064107604,-0.43910602,-0.022825513,-0.10265478,0.4518782
9,-3.0070086,0.09575404,-0.8484942,0.08933347,0.03127091,0.0039492315,-0.18713573,0.11424156,-0.058374796,0.16147593,-0.09841367,0.013672603,0.4086416,-0.03895476,-0.06478929,0.4980108,0.11683986,-0.032173324,-0.009323803,-0.07418833,-0.023817852,-0.3137716,0.15350738,0.033139065,-0.19113675,-0.15061748,0.1005923,0.00014830689,-0.040445108,-0.03550495,-0.057537284,0.024966631,-0.027231647,-0.05305866,0.022568142,-0.034787096,-0.120739534,0.19206704,-0.036769457,0.0441217,-0.10107369,-0.3195675,-0.09572829,-0.015670339,0.29878122,0.03631061,0.10195418,-0.051847577,0.13143566,-0.2040415,-0.9603558,0.026520723,0.13639796,0.5361844,0.43241513,-1.3026427,0.4533267,-0.0743957,1.3599836,-1.0127226,0.06882179,-0.12830402,0.08201692,-0.10361141,0.15803218,-0.14853905,-0.0141937835,0.040059358,-0.41762105,-0.035131183,-0.072240874,0.41954023
